Period,Loan #,Loan Rate,Loan Term,Underlying Asset Initial Value,Underlying Asset Depreciation Rate,Recovery Rate,Monthly Payment,Principal Due,Interest Due,Total Default Recovery,Ending Loan Balance
0,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,17920.01976
1,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,185.0489798835165,286.13255743189177,0.0,17734.97078011648
2,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,188.0036941401616,283.17784317524666,0.0,17546.96708597632
3,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,191.00558691324005,280.1759504021682,0.0,17355.961499063076
4,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,194.0554115116068,277.1261258038015,0.0,17161.906087551473
5,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,197.1539332723503,274.027604043058,0.0,16964.752154279122
6,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,200.30192975285053,270.87960756255774,0.0,16764.45022452627
7,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,203.5001909259022,267.6813463895061,0.0,16560.95003360037
8,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,206.7495193779544,264.43201793745385,0.0,16354.200514222413
9,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,210.05073051051562,261.13080680489264,0.0,16144.149783711895
10,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,213.4046527447739,257.77688457063437,0.0,15930.745130967123
11,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,216.81212772948487,254.3694095859234,0.0,15713.933003237635
12,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,220.2740105521793,250.90752676322896,0.0,15493.658992685458
13,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,223.791169953742,247.39036736166625,0.0,15269.867822731714
14,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,227.3644885464186,243.81704876898965,0.0,15042.503334185294
15,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,230.9948630353015,240.18667428010676,0.0,14811.508471149995
16,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,234.6832044433536,236.49833287205468,0.0,14576.825266706637
17,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,238.43043834002478,232.75109897538348,0.0,14338.394828366614
18,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,242.23750507351804,228.94403224189023,0.0,14096.157323293095
19,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,246.10536000676544,225.07617730864283,0.0,13850.051963286329
20,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,250.03497375717083,221.14656355823743,0.0,13600.016989529156
21,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,254.0273324401813,217.15420487522695,0.0,13345.989657088976
22,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,258.08343791674747,213.09809939866076,0.0,13087.906219172228
23,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,262.2043080447353,208.977229270673,0.0,12825.701911127491
24,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,266.39097693435144,204.7905603810568,0.0,12559.310934193141
25,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,270.64449520764856,200.53704210775967,0.0,12288.66643898549
26,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,274.9659302621727,196.21560705323557,0.0,12013.70050872332
27,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,279.3563665388208,191.8251707765875,0.0,11734.344142184496
28,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,283.8169057939758,187.36463152143244,0.0,11450.52723639052
29,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,288.34866737598634,182.83286993942195,0.0,11162.178569014526
30,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,292.952788506061,178.2287488093473,0.0,10869.22578050847
31,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,297.63042456364764,173.55111275176063,0.0,10571.595355944824
32,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,302.3827493763707,168.79878793903757,0.0,10269.212606568446
33,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,307.210955514596,163.9705818008123,0.0,9962.001651053855
34,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,312.1162545906995,159.06528272470877,0.0,9649.885396463153
35,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,317.0998775631164,154.08165975229184,0.0,9332.785518900033
36,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,322.1630750452421,149.01846227016614,0.0,9010.62244385479
37,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,327.3071176192676,143.87441969614065,0.0,8683.315326235523
38,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,332.5332961550251,138.64824116038318,0.0,8350.7820300805
39,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,337.84292213392484,133.3386151814834,0.0,8012.939107946571
40,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,343.2373279780646,127.94420933734361,0.0,7669.701779968505
41,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,348.7178673845934,122.4636699308149,0.0,7320.9839125839135
42,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,354.28591566541445,116.89562164999379,0.0,6966.697996918498
43,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,359.9428700923132,111.23866722309504,0.0,6606.755126826185
44,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,365.6901502475941,105.49138706781419,0.0,6241.064976578589
45,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,371.52919838031767,99.65233893509063,0.0,5869.535778198275
46,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,377.461479768225,93.72005754718327,0.0,5492.074298430049
47,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,383.48848308544166,87.69305422996658,0.0,5108.585815344606
48,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,389.61172077605204,81.56981653935621,0.0,4718.974094568548
49,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,395.83272943363926,75.34880788176902,0.0,4323.141365134907
50,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,402.1530701868848,69.02846712852345,0.0,3920.988294948016
51,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,408.57432909132604,62.60720822408226,0.0,3512.413965856693
52,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,415.0981175273673,56.08341978804095,0.0,3097.31584832933
53,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,421.7260726046483,49.45546471075993,0.0,2675.589775724671
54,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,428.4598575728675,42.72167974254074,0.0,2247.1299181518116
55,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,435.30116223916474,35.880375076243524,0.0,1811.8287559126475
56,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,442.25170339217107,28.92983392323718,0.0,1369.5770525204643
57,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,449.3132252328264,21.868312082581813,0.0,920.2638272876429
58,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,456.4874998120772,14.69403750333108,0.0,463.77632747556345
59,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,471.18153731540826,463.77632747556413,7.405209839844145,0.0,-7.275957614183426e-12
60,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
61,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
62,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
63,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
64,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
65,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
66,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
67,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
68,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
69,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
70,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
71,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
72,1,0.015967201,59.0,14495.99142,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
0,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,19805.4362
1,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,225.75183321642248,271.4725577907334,0.0,19579.68436678358
2,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,228.84620725445603,268.37818375269984,0.0,19350.83815952912
3,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,231.98299579052855,265.2413952166273,0.0,19118.85516373859
4,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,235.16278019897356,262.0616108081823,0.0,18883.69238353962
5,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,238.38614982300606,258.8382411841498,0.0,18645.30623371661
6,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,241.6537020839524,255.57068892320348,0.0,18403.65253163266
7,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,244.96604259197562,252.25834841518025,0.0,18158.686489040683
8,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,248.3237852583208,248.90060574883506,0.0,17910.36270378236
9,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,251.727552409097,245.49683859805887,0.0,17658.635151373262
10,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,255.17797490061974,242.04641610653613,0.0,17403.457176472642
11,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,258.6756922363344,238.54869877082146,0.0,17144.781484236308
12,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,262.22135268534214,235.0030383218137,0.0,16882.560131550963
13,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,265.8156134025505,231.40877760460535,0.0,16616.744518148414
14,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,269.4591405504708,227.7652504566851,0.0,16347.285377597944
15,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,273.15260942268526,224.07178158447064,0.0,16074.132768175254
16,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,276.89670456900626,220.3276864381496,0.0,15797.23606360625
17,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,280.69211992235114,216.53227108480473,0.0,15516.543943683895
18,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,284.53955892735644,212.6848320797994,0.0,15232.00438475654
19,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,288.43973467075443,208.7846563364014,0.0,14943.564650085784
20,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,292.39337001353726,204.83102099361858,0.0,14651.171280072247
21,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,296.40119772493233,200.8231932822235,0.0,14354.770082347313
22,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,300.4639606182144,196.76043038894147,0.0,14054.306121729098
23,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,304.5824116883787,192.64197931877715,0.0,13749.72371004072
24,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,308.7573142517019,188.46707675545395,0.0,13440.966395789015
25,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,312.9894420872155,184.23494891994042,0.0,13127.9769537018
26,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,317.2795795801181,179.9448114270378,0.0,12810.697374121683
27,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,321.6285218671546,175.5958691400013,0.0,12489.068852254524
28,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,326.0370749839867,171.18731602316916,0.0,12163.031777270538
29,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,330.5060560145844,166.71833499257153,0.0,11832.525721255955
30,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,335.0362932426645,162.18809776449137,0.0,11497.489428013283
31,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,339.6286263052059,157.59576470194997,0.0,11157.86080170808
32,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,344.2839063480674,152.94048465908847,0.0,10813.576895360013
33,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,349.00299618374066,148.2213948234152,0.0,10464.573899176274
34,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,353.7867704512637,143.43762055589218,0.0,10110.78712872501
35,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,358.6361157783274,138.5882752288285,0.0,9752.15101294668
36,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,363.5519309456033,133.67246006155253,0.0,9388.599082001074
37,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,368.5351270533247,128.68926395383116,0.0,9020.06395494775
38,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,373.58662769014984,123.63776331700606,0.0,8646.477327257599
39,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,378.7073691043409,118.51702190281496,0.0,8267.769958153258
40,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,383.8983003772888,113.32609062986704,0.0,7883.871657775962
41,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,389.1603835994165,108.0640074077394,0.0,7494.711274176549
42,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,394.4945940484929,102.729796958663,0.0,7100.216680128058
43,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,399.90192037039236,97.32247063676353,0.0,6700.314759757661
44,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,405.3833647623305,91.84102624482541,0.0,6294.931394995328
45,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,410.9399431586116,86.28444784854429,0.0,5883.991451836719
46,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,416.57268541892324,80.65170558823263,0.0,5467.418766417795
47,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,422.2826355192108,74.94175548794503,0.0,5045.136130898583
48,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,428.0708517451687,69.1535392619872,0.0,4617.0652791534085
49,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,433.9384068883834,63.28598411877251,0.0,4183.126872265035
50,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,439.8863884451654,57.3380025619905,0.0,3743.2404838198636
51,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,445.9158988181073,51.308492189048614,0.0,3297.3245850017556
52,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,452.02805552040223,45.19633548675363,0.0,2845.2965294813475
53,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,458.2239913829659,39.00039962418996,0.0,2387.072538098386
54,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,464.5048547643951,32.719536242760796,0.0,1922.5676833339894
55,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,470.87180976380597,26.352581243349885,0.0,1451.6958735701846
56,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,477.3260364365885,19.898354570567403,0.0,974.3698371335922
57,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,483.86873101311863,13.355659994037222,0.0,490.5011061204641
58,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,497.2243910071559,490.50110612046876,6.7232848866871375,0.0,0.0
59,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
60,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
61,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
62,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
63,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
64,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
65,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
66,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
67,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
68,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
69,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
70,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
71,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
72,2,0.013706971916666666,58.0,16243.78906,0.008333333333333333,1,0.0,0.0,0.0,0.0,0.0
0,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,0.0,0.0,0.0,0.0,26282.12875
1,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,270.13656757470096,364.7276616991527,0.0,26011.992182425296
2,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,273.88536127281253,360.9788680010411,0.0,25738.106821152483
3,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,277.68617848746305,357.1780507863906,0.0,25460.42064266502
4,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,281.5397411698963,353.3244881039574,0.0,25178.88090149512
5,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,285.4467812901637,349.41744798368995,0.0,24893.434120204955
6,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,289.4080409761589,345.4561882976948,0.0,24604.026079228795
7,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,293.42427265458286,341.4399566192708,0.0,24310.60180657421
8,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,297.4962391938641,337.36799007998957,0.0,24013.105567380346
9,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,301.6247140490628,333.23951522479086,0.0,23711.480853331283
10,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,305.8104814087859,329.05374786506775,0.0,23405.670371922497
11,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,310.0543363441407,324.80989292971293,0.0,23095.616035578347
12,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,314.357084959756,320.5071443140977,0.0,22781.25895061859
13,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,318.71954454689785,316.1446847269558,0.0,22462.53940607169
14,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,323.14254373871216,311.7216855351415,0.0,22139.396862332975
15,3,0.013877401833333332,62.0,22719.76774,0.008333333333333333,1,634.8642292738537,327.6269226676198,307.23730660623386,0.0,21811.769939665355
