
TRANCHE A METRICS
IRR,0.04999999999999183
DIRR,8.174017018802715e-15
AL,23.65629366371402
ABS Rating,AAA

TRANCHE B METRICS
IRR,0.07999999999998586
DIRR,1.4141465776162931e-14
AL,47.06835903730516
ABS Rating,AAA

TRANCHE CASH FLOWS
Period,Tranche,Interest Due,Interest Paid,Interest Shortfall,Principal Paid,Notional Balance
0,A,0.0,0.0,0.0,0.0,18146799.56336
1,A,75611.66484733332,75611.66484733332,0.0,333000.6661250897,17813798.89723491
2,A,74224.16207181213,74224.16207181213,0.0,313793.0924042721,17500005.804830637
3,A,72916.69085346098,72916.69085346098,0.0,318114.2280830849,17181891.57674755
4,A,71591.2149031148,71591.2149031148,0.0,359394.0679105796,16822497.508836973
5,A,70093.73962015405,70093.73962015405,0.0,347325.7905327052,16475171.718304269
6,A,68646.54882626778,68646.54882626778,0.0,363531.65469056537,16111640.063613703
7,A,67131.83359839043,67131.83359839043,0.0,334940.16139877366,15776699.90221493
8,A,65736.2495925622,65736.2495925622,0.0,339555.7208651846,15437144.181349745
9,A,64321.43408895727,64321.43408895727,0.0,344235.71047428146,15092908.470875464
10,A,62887.11862864777,62887.11862864777,0.0,348981.04088745505,14743927.42998801
11,A,61433.03095828337,61433.03095828337,0.0,387048.2267993553,14356879.203188654
12,A,59820.33001328606,59820.33001328606,0.0,366844.5830716595,13990034.620116994
13,A,58291.81091715414,58291.81091715414,0.0,377070.1411155464,13612964.479001448
14,A,56720.685329172695,56720.685329172695,0.0,401089.24268223136,13211875.236319216
15,A,55049.48015133006,55049.48015133006,0.0,385306.13123046793,12826569.105088748
16,A,53444.03793786978,53444.03793786978,0.0,388374.63048790384,12438194.474600844
17,A,51825.81031083685,51825.81031083685,0.0,394546.8691242598,12043647.605476584
18,A,50181.8650228191,50181.8650228191,0.0,401766.1603552546,11641881.44512133
19,A,48507.83935467221,48507.83935467221,0.0,392217.3557220955,11249664.089399233
20,A,46873.6003724968,46873.6003724968,0.0,397635.38580410846,10852028.703595124
21,A,45216.78626497968,45216.78626497968,0.0,436392.2419733358,10415636.46162179
22,A,43398.485256757456,43398.485256757456,0.0,408158.01416566194,10007478.447456127
23,A,41697.82686440053,41697.82686440053,0.0,424984.3897883366,9582494.05766779
24,A,39927.05857361579,39927.05857361579,0.0,444891.1585736102,9137602.89909418
25,A,38073.34541289241,38073.34541289241,0.0,440025.8573104222,8697577.041783758
26,A,36239.90434076566,36239.90434076566,0.0,461911.5159577893,8235665.525825968
27,A,34315.273024274866,34315.273024274866,0.0,457064.4726701719,7778601.053155797
28,A,32410.837721482487,32410.837721482487,0.0,495052.68394894537,7283548.369206851
29,A,30348.118205028546,30348.118205028546,0.0,456060.48486724216,6827487.884339609
30,A,28447.86618474837,28447.86618474837,0.0,484582.8730347854,6342905.011304824
31,A,26428.770880436765,26428.770880436765,0.0,469878.3939564482,5873026.617348376
32,A,24470.944238951564,24470.944238951564,0.0,462445.4867215156,5410581.13062686
33,A,22544.088044278582,22544.088044278582,0.0,485796.4416628079,4924784.688964052
34,A,20519.936204016885,20519.936204016885,0.0,515417.1404839541,4409367.548480098
35,A,18372.364785333742,18372.364785333742,0.0,501337.78339230607,3908029.765087792
36,A,16283.457354532467,16283.457354532467,0.0,497172.41079349886,3410857.3542942936
37,A,14211.905642892889,14211.905642892889,0.0,503577.62275844254,2907279.731535851
38,A,12113.665548066047,12113.665548066047,0.0,513307.2124479532,2393972.5190878976
39,A,9974.885496199573,9974.885496199573,0.0,505378.0709195837,1888594.4481683138
40,A,7869.143534034641,7869.143534034641,0.0,517039.8439301986,1371554.6042381153
41,A,5714.810850992147,5714.810850992147,0.0,527125.0326991428,844429.5715389724
42,A,3518.4565480790516,3518.4565480790516,0.0,536108.8542291978,308320.7173097746
43,A,1284.6696554573941,1284.6696554573941,0.0,308320.7173097746,0.0
44,A,0.0,0.0,0.0,0.0,0.0
45,A,0.0,0.0,0.0,0.0,0.0
46,A,0.0,0.0,0.0,0.0,0.0
47,A,0.0,0.0,0.0,0.0,0.0
48,A,0.0,0.0,0.0,0.0,0.0
49,A,0.0,0.0,0.0,0.0,0.0
50,A,0.0,0.0,0.0,0.0,0.0
51,A,0.0,0.0,0.0,0.0,0.0
52,A,0.0,0.0,0.0,0.0,0.0
53,A,0.0,0.0,0.0,0.0,0.0
54,A,0.0,0.0,0.0,0.0,0.0
55,A,0.0,0.0,0.0,0.0,0.0
56,A,0.0,0.0,0.0,0.0,0.0
57,A,0.0,0.0,0.0,0.0,0.0
58,A,0.0,0.0,0.0,0.0,0.0
59,A,0.0,0.0,0.0,0.0,0.0
60,A,0.0,0.0,0.0,0.0,0.0
61,A,0.0,0.0,0.0,0.0,0.0
62,A,0.0,0.0,0.0,0.0,0.0
63,A,0.0,0.0,0.0,0.0,0.0
64,A,0.0,0.0,0.0,0.0,0.0
65,A,0.0,0.0,0.0,0.0,0.0
66,A,0.0,0.0,0.0,0.0,0.0
67,A,0.0,0.0,0.0,0.0,0.0
68,A,0.0,0.0,0.0,0.0,0.0
69,A,0.0,0.0,0.0,0.0,0.0
70,A,0.0,0.0,0.0,0.0,0.0
71,A,0.0,0.0,0.0,0.0,0.0
72,A,0.0,0.0,0.0,0.0,0.0
0,B,0.0,0.0,0.0,0.0,4536699.89084
1,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
2,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
3,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
4,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
5,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
6,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
7,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
8,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
9,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
10,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
11,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
12,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
13,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
14,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
15,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
16,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
17,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
18,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
19,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
20,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
21,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
22,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
23,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
24,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
25,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
26,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
27,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
28,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
29,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
30,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
31,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
32,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
33,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
34,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
35,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
36,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
37,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
38,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
39,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
40,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
41,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
42,B,30244.665938933333,30244.665938933333,0.0,0.0,4536699.89084
43,B,30244.665938933333,30244.665938933333,0.0,230981.88024838734,4305718.010591612
44,B,28704.786737277416,28704.786737277416,0.0,570213.0340572763,3735504.976534336
45,B,24903.36651022891,24903.36651022891,0.0,560376.2405150702,3175128.736019266
46,B,21167.524906795108,21167.524906795108,0.0,570501.8369283573,2604626.8990909085
47,B,17364.179327272723,17364.179327272723,0.0,581998.9718943215,2022627.927196587
48,B,13484.18618131058,13484.18618131058,0.0,568656.3045094099,1453971.622687177
49,B,9693.144151247847,9693.144151247847,0.0,577400.440544285,876571.182142892
50,B,5843.807880952614,5843.807880952614,0.0,593796.5359654106,282774.6461774814
51,B,1885.1643078498762,1885.1643078498762,0.0,282774.6461774814,0.0
52,B,0.0,0.0,0.0,0.0,0.0
53,B,0.0,0.0,0.0,0.0,0.0
54,B,0.0,0.0,0.0,0.0,0.0
55,B,0.0,0.0,0.0,0.0,0.0
56,B,0.0,0.0,0.0,0.0,0.0
57,B,0.0,0.0,0.0,0.0,0.0
58,B,0.0,0.0,0.0,0.0,0.0
59,B,0.0,0.0,0.0,0.0,0.0
60,B,0.0,0.0,0.0,0.0,0.0
61,B,0.0,0.0,0.0,0.0,0.0
62,B,0.0,0.0,0.0,0.0,0.0
63,B,0.0,0.0,0.0,0.0,0.0
64,B,0.0,0.0,0.0,0.0,0.0
65,B,0.0,0.0,0.0,0.0,0.0
66,B,0.0,0.0,0.0,0.0,0.0
67,B,0.0,0.0,0.0,0.0,0.0
68,B,0.0,0.0,0.0,0.0,0.0
69,B,0.0,0.0,0.0,0.0,0.0
70,B,0.0,0.0,0.0,0.0,0.0
71,B,0.0,0.0,0.0,0.0,0.0
72,B,0.0,0.0,0.0,0.0,0.0
